,Subject,Section,Session,FN/AN,Exam Date,Days,Start,End,Room,Instructor,Type
0,HSS     F236 - SYMBOLIC LOGIC,L1-LEC (1675),1,12,12/12/2020,MoWeFr,2:00PM,3:00PM,TBA,Reena Cheruvalath,HEL
1,HSS     F343 - PROFESSIONAL ETHICS,L1-LEC (1672),1,02,02/12/2020,TuThSa,12:00PM,1:00PM,TBA,Reena Cheruvalath,HEL
2,HSS     F235 - INTRODUCTORY PHILOSOPHY,L1-LEC (1674),1,14,14/12/2020,MoWeFr,3:00PM,4:00PM,TBA,HAREESH A.G. .,HEL
3,GS     F211 - MOD POLITICAL CONCEPTS,L1-LEC (1517),1,12,12/12/2020,MoWeFr,2:00PM,3:00PM,TBA,Solano Da Silva,HEL
4,HSS     F222 - LINGUISTICS,L1-LEC (1669),1,14,14/12/2020,MoWeFr,3:00PM,4:00PM,TBA,Geetha K A,HEL
5,HSS     F374 - Urban Modernity and the Renewal of Paris,L1-LEC (1718),1,12,12/12/2020,MoWeFr,2:00PM,3:00PM,TBA,NILAK DATTA,HEL
6,HSS     F373 - Shakespeare and Popular Culture,L1-LEC (1732),1,08,08/12/2020,TuThSa,9:00AM,9:50AM,TBA,NILAK DATTA,HEL
7,HSS     F371 - Cities-Life Issues and Conflicts,L1-LEC (1717),1,12,12/12/2020,MoWeFr,2:00PM,3:00PM,TBA,SAYANTANI SARKAR .,HEL
8,HSS     F363 - DISASTER AND DEVELOPMENT,L1-LEC (1715),1, , ,MoWeFr,11:00AM,11:50AM,TBA,MOHAN KUMAR BERA .,HEL
9,HSS     F337 - English Literary Form and Movement,L1-LEC (1670),1,04,04/12/2020,MoWeFr,12:00PM,1:00PM,TBA,AMITENDU BHATTACHARYA,HEL
10,HSS     F233 - MAIN TRENDS IN IND HIST,L1-LEC (1671),1,11,11/12/2020,MoWeFr,4:00PM,5:00PM,TBA,LAKSHMI SUBRAMANIAN,HEL
11,HSS     F227 - CROSS CULTURAL SKILLS,L1-LEC (1521),1,08,08/12/2020,TuThSa,9:00AM,9:50AM,TBA,Basavadatta Mitra,HEL
12,HSS     F346 - INTERNATIONAL RELATIONS,L1-LEC (1673),1,11,11/12/2020,MoWeFr,4:00PM,5:00PM,TBA,Rudra Prasad Pradhan,HEL
13,HSS     F347 - INTRO TO CARNATIC MUSIC,L1-LEC (1684),1,04,04/12/2020,MoWeFr,12:00PM,1:00PM,TBA,Reena Cheruvalath,HEL
14,GS     F212 - ENVIRON DEV & CLIMATE CH,L1-LEC (1518),1,14,14/12/2020,MoWeFr,3:00PM,4:00PM,TBA,RAJIV KUMAR CHATURVEDI,HEL
15,GS     F332 - CONTEMPORARY INDIA,L1-LEC (1528),1,11,11/12/2020,MoWeFr,4:00PM,5:00PM,TBA,SAYANTANI SARKAR .,HEL
16,GS     F322 - CRITI ANAL OF LIT & CINE,L1-LEC (1520),1,02,02/12/2020,TuThSa,12:00PM,1:00PM,TBA,GEETHA B.,HEL
17,GS     F245 - EFFECTIVE PUBLIC SPEAK,L1-LEC (1523),1,04,04/12/2020,MoWeFr,12:00PM,1:00PM,TBA,Shalini Upadhyay,HEL
18,GS     F233 - PUBLIC POLICY,L1-LEC (1525),1,08,08/12/2020,TuThSa,11:00AM,12:00PM,TBA,RAJIV KUMAR CHATURVEDI,HEL
19,GS     F231 - DYN OF SOCIAL CHANGE,L1-LEC (1524),1,02,02/12/2020,TuThSa,12:00PM,1:00PM,TBA,MOHAN KUMAR BERA .,HEL
20,GS     F234 - DEVELOPMENT ECONOMICS,L1-LEC (1526),1,04,04/12/2020,MoWeFr,12:00PM,1:00PM,TBA,Rudra Prasad Pradhan,HEL
21,HSS     F349 - ECOCRITICISM,L1-LEC (1683),1,02,02/12/2020,TuThSa,12:00PM,1:00PM,TBA,RAYSON ALEX,HEL
22,GS     F221 - BUSINESS COMMUNICATION,L1-LEC (1519),1,02,02/12/2020,TuThSa,12:00PM,1:00PM,TBA,Shalini Upadhyay,HEL
