,DOY,lytemp
39,09 Feb,8.3
106,17 Apr,27.8
126,07 May,30.6
127,08 May,33.3
130,11 May,30.6
137,18 May,31.7
207,27 Jul,33.9
209,29 Jul,36.1
230,19 Aug,32.8
249,07 Sep,35.0
250,08 Sep,33.9
258,16 Sep,31.1
259,17 Sep,31.7
260,18 Sep,30.0
270,28 Sep,29.4
271,29 Sep,28.3
292,20 Oct,27.2
305,02 Nov,22.8
306,03 Nov,26.1
307,04 Nov,26.1
308,05 Nov,25.6
309,06 Nov,23.9
321,18 Nov,20.0
340,07 Dec,10.0
341,08 Dec,10.0
342,09 Dec,12.2
343,10 Dec,15.0
344,11 Dec,15.6
345,12 Dec,20.0
346,13 Dec,19.4
347,14 Dec,18.3
348,15 Dec,16.1
349,16 Dec,15.0
356,23 Dec,18.3
357,24 Dec,17.2
358,25 Dec,11.1
359,26 Dec,11.7
