,DOY,lytemp
4,05 Jan,-15.5
10,11 Jan,-20.0
33,03 Feb,-23.8
44,14 Feb,-23.9
45,15 Feb,-26.0
46,16 Feb,-29.4
47,17 Feb,-27.2
49,19 Feb,-26.0
50,20 Feb,-34.3
51,21 Feb,-32.2
53,23 Feb,-26.7
54,24 Feb,-27.2
55,25 Feb,-21.7
56,26 Feb,-21.6
57,27 Feb,-28.8
58,28 Feb,-27.2
63,05 Mar,-22.1
64,06 Mar,-25.5
65,07 Mar,-22.2
86,28 Mar,-12.2
87,29 Mar,-11.1
88,30 Mar,-12.2
113,24 Apr,-7.1
114,25 Apr,-5.0
139,20 May,0.0
183,03 Jul,7.2
239,28 Aug,5.6
289,17 Oct,-5.5
290,18 Oct,-5.5
291,19 Oct,-6.1
292,20 Oct,-3.9
313,10 Nov,-4.4
