,DOY,Temp
0,01 Jan,15.6
1,02 Jan,13.9
2,03 Jan,13.3
3,04 Jan,10.6
4,05 Jan,12.8
5,06 Jan,18.9
6,07 Jan,21.7
7,08 Jan,19.4
8,09 Jan,17.8
9,10 Jan,10.0
10,11 Jan,15.6
11,12 Jan,16.1
12,13 Jan,16.7
13,14 Jan,15.0
14,15 Jan,6.7
15,16 Jan,9.4
16,17 Jan,13.3
17,18 Jan,12.2
18,19 Jan,10.6
19,20 Jan,13.3
20,21 Jan,13.3
21,22 Jan,11.7
22,23 Jan,12.8
23,24 Jan,11.7
24,25 Jan,10.0
25,26 Jan,8.9
26,27 Jan,7.8
27,28 Jan,12.2
28,29 Jan,17.8
29,30 Jan,18.3
30,31 Jan,14.4
31,01 Feb,15.0
32,02 Feb,10.6
33,03 Feb,8.9
34,04 Feb,11.7
35,05 Feb,12.2
36,06 Feb,11.7
37,07 Feb,11.7
38,08 Feb,12.8
39,09 Feb,7.8
40,10 Feb,16.1
41,11 Feb,16.1
42,12 Feb,19.4
43,13 Feb,9.4
44,14 Feb,10.6
45,15 Feb,11.7
46,16 Feb,14.4
47,17 Feb,15.6
48,18 Feb,14.4
49,19 Feb,12.8
50,20 Feb,10.6
51,21 Feb,10.0
52,22 Feb,10.6
53,23 Feb,12.2
54,24 Feb,11.1
55,25 Feb,9.4
56,26 Feb,11.1
57,27 Feb,12.2
58,28 Feb,11.7
59,01 Mar,11.7
60,02 Mar,15.6
61,03 Mar,16.1
62,04 Mar,15.6
63,05 Mar,15.6
64,06 Mar,20.6
65,07 Mar,21.1
66,08 Mar,20.0
67,09 Mar,18.9
68,10 Mar,18.9
69,11 Mar,20.0
70,12 Mar,20.6
71,13 Mar,22.8
72,14 Mar,26.7
73,15 Mar,26.7
74,16 Mar,26.1
75,17 Mar,26.1
76,18 Mar,25.0
77,19 Mar,26.7
78,20 Mar,30.0
79,21 Mar,30.6
80,22 Mar,31.7
81,23 Mar,30.6
82,24 Mar,28.3
83,25 Mar,23.3
84,26 Mar,27.2
85,27 Mar,26.7
86,28 Mar,27.2
87,29 Mar,22.2
88,30 Mar,23.9
89,31 Mar,23.3
90,01 Apr,27.2
91,02 Apr,27.8
92,03 Apr,27.2
93,04 Apr,25.6
94,05 Apr,25.6
95,06 Apr,28.3
96,07 Apr,27.8
97,08 Apr,22.8
98,09 Apr,21.7
99,10 Apr,30.0
100,11 Apr,28.9
101,12 Apr,24.4
102,13 Apr,27.2
103,14 Apr,27.8
104,15 Apr,28.9
105,16 Apr,28.9
106,17 Apr,24.4
107,18 Apr,28.3
108,19 Apr,28.9
109,20 Apr,28.9
110,21 Apr,27.8
111,22 Apr,27.2
112,23 Apr,27.8
113,24 Apr,30.0
114,25 Apr,30.6
115,26 Apr,29.4
116,27 Apr,29.4
117,28 Apr,29.4
118,29 Apr,27.2
119,30 Apr,27.8
120,01 May,28.3
121,02 May,30.6
122,03 May,33.3
123,04 May,32.2
124,05 May,27.8
125,06 May,28.3
126,07 May,25.6
127,08 May,31.7
128,09 May,31.7
129,10 May,29.4
130,11 May,29.4
131,12 May,31.7
132,13 May,32.2
133,14 May,30.6
134,15 May,32.8
135,16 May,31.7
136,17 May,30.0
137,18 May,28.9
138,19 May,31.1
139,20 May,33.9
140,21 May,32.8
141,22 May,31.7
142,23 May,32.8
143,24 May,32.8
144,25 May,33.3
145,26 May,33.3
146,27 May,32.2
147,28 May,36.7
148,29 May,35.0
149,30 May,35.0
150,31 May,34.4
151,01 Jun,35.0
152,02 Jun,32.2
153,03 Jun,32.2
154,04 Jun,36.1
155,05 Jun,35.0
156,06 Jun,34.4
157,07 Jun,37.2
158,08 Jun,38.3
159,09 Jun,36.7
160,10 Jun,35.0
161,11 Jun,35.0
162,12 Jun,32.2
163,13 Jun,32.8
164,14 Jun,32.8
165,15 Jun,32.8
166,16 Jun,33.9
167,17 Jun,35.0
168,18 Jun,35.6
169,19 Jun,36.7
170,20 Jun,36.1
171,21 Jun,36.7
172,22 Jun,34.4
173,23 Jun,33.9
174,24 Jun,36.7
175,25 Jun,37.2
176,26 Jun,37.8
177,27 Jun,36.1
178,28 Jun,40.6
179,29 Jun,38.9
180,30 Jun,36.7
181,01 Jul,36.7
182,02 Jul,38.3
183,03 Jul,36.1
184,04 Jul,40.0
185,05 Jul,38.9
186,06 Jul,38.3
187,07 Jul,39.4
188,08 Jul,39.4
189,09 Jul,35.6
190,10 Jul,36.1
191,11 Jul,35.6
192,12 Jul,35.0
193,13 Jul,34.4
194,14 Jul,33.9
195,15 Jul,36.1
196,16 Jul,37.2
197,17 Jul,40.6
198,18 Jul,38.9
199,19 Jul,36.1
200,20 Jul,37.2
201,21 Jul,40.6
202,22 Jul,38.3
203,23 Jul,38.3
204,24 Jul,36.1
205,25 Jul,34.4
206,26 Jul,34.4
207,27 Jul,33.3
208,28 Jul,36.1
209,29 Jul,33.9
210,30 Jul,34.4
211,31 Jul,35.0
212,01 Aug,35.6
213,02 Aug,36.7
214,03 Aug,37.2
215,04 Aug,36.7
216,05 Aug,33.9
217,06 Aug,32.8
218,07 Aug,36.1
219,08 Aug,33.9
220,09 Aug,34.4
221,10 Aug,34.4
222,11 Aug,36.1
223,12 Aug,32.8
224,13 Aug,33.3
225,14 Aug,31.7
226,15 Aug,33.3
227,16 Aug,33.3
228,17 Aug,33.9
229,18 Aug,33.9
230,19 Aug,32.2
231,20 Aug,32.2
232,21 Aug,32.2
233,22 Aug,33.3
234,23 Aug,34.4
235,24 Aug,34.4
236,25 Aug,35.6
237,26 Aug,35.0
238,27 Aug,33.9
239,28 Aug,32.2
240,29 Aug,34.4
241,30 Aug,34.4
242,31 Aug,36.1
243,01 Sep,35.0
244,02 Sep,37.2
245,03 Sep,36.7
246,04 Sep,36.1
247,05 Sep,35.6
248,06 Sep,34.4
249,07 Sep,34.4
250,08 Sep,33.3
251,09 Sep,33.3
252,10 Sep,36.1
253,11 Sep,36.7
254,12 Sep,33.9
255,13 Sep,33.3
256,14 Sep,33.3
257,15 Sep,31.1
258,16 Sep,27.8
259,17 Sep,28.9
260,18 Sep,29.4
261,19 Sep,31.1
262,20 Sep,30.6
263,21 Sep,32.8
264,22 Sep,32.8
265,23 Sep,33.3
266,24 Sep,33.9
267,25 Sep,32.8
268,26 Sep,31.7
269,27 Sep,27.8
270,28 Sep,28.3
271,29 Sep,27.8
272,30 Sep,27.8
273,01 Oct,27.2
274,02 Oct,28.9
275,03 Oct,31.1
276,04 Oct,31.1
277,05 Oct,32.2
