,DOY,Temp
0,01 Jan,-16.0
1,02 Jan,-26.7
2,03 Jan,-26.7
3,04 Jan,-26.1
4,05 Jan,-15.0
5,06 Jan,-26.6
6,07 Jan,-30.6
7,08 Jan,-29.4
8,09 Jan,-27.8
9,10 Jan,-25.6
10,11 Jan,-18.3
11,12 Jan,-19.3
12,13 Jan,-25.0
13,14 Jan,-26.6
14,15 Jan,-27.2
15,16 Jan,-29.4
16,17 Jan,-29.4
17,18 Jan,-28.9
18,19 Jan,-30.0
19,20 Jan,-23.9
20,21 Jan,-26.0
21,22 Jan,-27.7
22,23 Jan,-25.0
23,24 Jan,-26.7
24,25 Jan,-24.3
25,26 Jan,-23.8
26,27 Jan,-23.9
27,28 Jan,-29.4
28,29 Jan,-27.8
29,30 Jan,-23.3
30,31 Jan,-19.4
31,01 Feb,-21.1
32,02 Feb,-21.1
33,03 Feb,-23.2
34,04 Feb,-26.1
35,05 Feb,-28.2
36,06 Feb,-26.1
37,07 Feb,-23.3
38,08 Feb,-22.8
39,09 Feb,-21.0
40,10 Feb,-25.6
41,11 Feb,-25.5
42,12 Feb,-28.8
43,13 Feb,-27.2
44,14 Feb,-21.7
45,15 Feb,-25.6
46,16 Feb,-22.2
47,17 Feb,-24.3
48,18 Feb,-22.2
49,19 Feb,-18.8
50,20 Feb,-17.8
51,21 Feb,-17.8
52,22 Feb,-17.2
53,23 Feb,-22.8
54,24 Feb,-21.1
55,25 Feb,-17.2
56,26 Feb,-20.0
57,27 Feb,-23.8
58,28 Feb,-27.1
59,01 Mar,-26.7
60,02 Mar,-18.2
61,03 Mar,-24.4
62,04 Mar,-23.9
63,05 Mar,-18.9
64,06 Mar,-17.8
65,07 Mar,-17.8
66,08 Mar,-16.7
67,09 Mar,-14.4
68,10 Mar,-15.6
69,11 Mar,-12.2
70,12 Mar,-14.4
71,13 Mar,-22.2
72,14 Mar,-20.6
73,15 Mar,-10.6
74,16 Mar,-13.9
75,17 Mar,-17.8
76,18 Mar,-16.1
77,19 Mar,-10.0
78,20 Mar,-10.6
